Date,"Pandas (software)"
2018-08-14,374
2018-08-15,422
2018-08-16,424
2018-08-17,322
2018-08-18,224
2018-08-19,184
2018-08-20,399
2018-08-21,383
2018-08-22,374
2018-08-23,372
2018-08-24,503
2018-08-25,236
2018-08-26,236
2018-08-27,397
2018-08-28,420
2018-08-29,429
2018-08-30,443
2018-08-31,329
2018-09-01,187
2018-09-02,190
2018-09-03,339
2018-09-04,380
2018-09-05,371
2018-09-06,380
2018-09-07,395
2018-09-08,206
2018-09-09,220
2018-09-10,371
2018-09-11,408
2018-09-12,354
2018-09-13,363
2018-09-14,344
2018-09-15,201
2018-09-16,247
2018-09-17,413
2018-09-18,371
2018-09-19,347
2018-09-20,403
2018-09-21,308
2018-09-22,180
2018-09-23,307
2018-09-24,356
2018-09-25,401
2018-09-26,404
2018-09-27,394
2018-09-28,363
2018-09-29,217
2018-09-30,241
2018-10-01,381
2018-10-02,395
2018-10-03,407
2018-10-04,385
2018-10-05,390
2018-10-06,199
2018-10-07,239
2018-10-08,380
2018-10-09,385
2018-10-10,449
2018-10-11,398
2018-10-12,366
2018-10-13,235
2018-10-14,245
2018-10-15,429
2018-10-16,435
2018-10-17,367
2018-10-18,396
2018-10-19,403
2018-10-20,211
2018-10-21,259
2018-10-22,400
2018-10-23,421
2018-10-24,388
2018-10-25,421
2018-10-26,368
2018-10-27,222
2018-10-28,258
2018-10-29,424
2018-10-30,421
2018-10-31,446
2018-11-01,429
2018-11-02,445
2018-11-03,264
2018-11-04,273
2018-11-05,447
2018-11-06,379
2018-11-07,405
2018-11-08,378
2018-11-09,315
2018-11-10,230
2018-11-11,275
2018-11-12,395
2018-11-13,436
2018-11-14,456
2018-11-15,444
2018-11-16,396
2018-11-17,209
2018-11-18,238
2018-11-19,386
2018-11-20,453
2018-11-21,404
2018-11-22,364
2018-11-23,309
2018-11-24,238
2018-11-25,261
2018-11-26,449
2018-11-27,409
2018-11-28,463
2018-11-29,419
2018-11-30,383
2018-12-01,262
2018-12-02,278
2018-12-03,480
2018-12-04,429
2018-12-05,415
2018-12-06,404
2018-12-07,368
2018-12-08,281
2018-12-09,259
2018-12-10,367
2018-12-11,407
2018-12-12,393
2018-12-13,434
2018-12-14,363
2018-12-15,234
2018-12-16,219
2018-12-17,417
2018-12-18,381
2018-12-19,383
